"","subject","modality","accuracy","mean(confidence, na.rm = T)"
"298",38,"Calories",1,6.02985074626866
"299",38,"GDP",0,3.03703703703704
"300",38,"GDP",1,4.36619718309859
"301",38,"memory",0,2.4
"302",38,"memory",1,5.92972972972973
"303",38,"vision",0,3.03448275862069
"304",38,"vision",1,4.20422535211268
"305",39,"Calories",0,5.5
"306",39,"Calories",1,5.77272727272727
"307",39,"GDP",0,4.18918918918919
"308",39,"GDP",1,5.55072463768116
"309",39,"memory",0,5.13924050632911
"310",39,"memory",1,5.74166666666667
"311",39,"vision",0,5.53191489361702
"312",39,"vision",1,6.5359477124183
"313",40,"Calories",0,6.16
"314",40,"Calories",1,6.33333333333333
"315",40,"GDP",0,3.45161290322581
"316",40,"GDP",1,4.3974358974359
"317",40,"memory",0,2.85365853658537
"318",40,"memory",1,4.89937106918239
"319",40,"vision",0,2.82142857142857
"320",40,"vision",1,4.73426573426573
"321",41,"Calories",0,4.6
"322",41,"Calories",1,6.16901408450704
"323",41,"GDP",0,2.03333333333333
"324",41,"GDP",1,4.65217391304348
"325",41,"memory",0,2
"326",41,"memory",1,5.44155844155844
"327",41,"vision",0,3.50909090909091
"328",41,"vision",1,5.19310344827586
"329",42,"Calories",0,5.36666666666667
"330",42,"Calories",1,5.33333333333333
"331",42,"GDP",0,3.17948717948718
"332",42,"GDP",1,5.09859154929577
"333",42,"memory",0,3.76
"334",42,"memory",1,5.74496644295302
"335",42,"vision",0,3.95
"336",42,"vision",1,4.9136690647482
"337",43,"Calories",0,2.3448275862069
"338",43,"Calories",1,2.77027027027027
"339",43,"GDP",0,1
"340",43,"GDP",1,1.31884057971015
"341",43,"memory",0,1.08235294117647
"342",43,"memory",1,1.26923076923077
"343",43,"vision",0,1.27777777777778
"344",43,"vision",1,2.06849315068493
"345",44,"Calories",0,4.52
"346",44,"Calories",1,5.46969696969697
"347",44,"GDP",0,2.54054054054054
"348",44,"GDP",1,4.51515151515152
"349",44,"memory",0,2.76363636363636
"350",44,"memory",1,4.77464788732394
"351",44,"vision",0,3.6
"352",44,"vision",1,4.1304347826087
"353",45,"Calories",0,5.61538461538461
"354",45,"Calories",1,5.96969696969697
"355",45,"GDP",0,4.35483870967742
"356",45,"GDP",1,5.48051948051948
"357",45,"memory",0,3.24615384615385
"358",45,"memory",1,5.26666666666667
"359",45,"vision",0,4.33928571428571
"360",45,"vision",1,5.625
"361",46,"Calories",0,3.14814814814815
"362",46,"Calories",1,4.56
"363",46,"GDP",0,2.24
"364",46,"GDP",1,4.57746478873239
"365",46,"memory",0,2.75862068965517
"366",46,"memory",1,5.68823529411765
"367",46,"vision",0,2.79245283018868
"368",46,"vision",1,4.28767123287671
"369",47,"Calories",0,3.77142857142857
"370",47,"Calories",1,4.55072463768116
"371",47,"GDP",0,3.83333333333333
"372",47,"GDP",1,5.58333333333333
"373",47,"memory",0,3.45901639344262
"374",47,"memory",1,4.47826086956522
"375",47,"vision",0,4.85185185185185
"376",47,"vision",1,5.16438356164384
"377",48,"Calories",0,5.2962962962963
"378",48,"Calories",1,6.15714285714286
"379",48,"GDP",0,4.19230769230769
"380",48,"GDP",1,5.62337662337662
"381",48,"memory",0,4
"382",48,"memory",1,5.81208053691275
"383",48,"vision",0,4.91071428571429
"384",48,"vision",1,5.74125874125874
"385",49,"Calories",0,4.35714285714286
"386",49,"Calories",1,6.22033898305085
"387",49,"GDP",0,3.10714285714286
"388",49,"GDP",1,4.67605633802817
"389",49,"memory",0,1.79166666666667
"390",49,"memory",1,6.42857142857143
"391",49,"vision",0,3.30357142857143
"392",49,"vision",1,4.67361111111111
"393",50,"Calories",0,5.95652173913043
"394",50,"Calories",1,6.03076923076923
"395",50,"GDP",0,3.5
"396",50,"GDP",1,4.94871794871795
"397",50,"memory",0,2.77611940298507
"398",50,"memory",1,4.40601503759398
"399",50,"vision",0,4.89285714285714
"400",50,"vision",1,5.25
